SKU,Status,Current Name,Shape,Classes,Containers,Description
FJT-107,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 1.5"" x 0.875"" #FJT-107",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-115,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 1"" Circle #FJT-115",Circle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-117,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.866"" x 0.59"" #FJT-117",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG™ - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>
\n&nbsp;
\n<ul>
\n 	<li>Ideal for long-term storage in deep-freeze conditions (-80°C)</li>
\n 	<li>No curing time; can be stored in freezers immediately after application</li>
\n 	<li>No additional lamination necessary</li>
\n 	<li>Labels and printout resist spraying with alcohols and other chemicals</li>
\n 	<li>Printable with all major thermal-transfer printer brands</li>
\n 	<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>
\n 	<li>RoHS compliant</li>
\n</ul>
\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20°C, -40°C, -80°C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-118,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 1"" x 1.25"" #FJT-118",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-122,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 4"" x 4""  #FJT-122",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-124,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 1.18"" x 0.28"" + 0.37"" #FJT-124",Rectangle + Circle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-127,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 4"" x 1"" #FJT-127",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-128,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 2"" x 0.75"" #FJT-128",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&#x2122; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>
\n&nbsp;
\n<ul>
\n 	<li>Ideal for long-term storage in deep-freeze conditions (-80°C)</li>
\n 	<li>No curing time; can be stored in freezers immediately after application</li>
\n 	<li>No additional lamination necessary</li>
\n 	<li>Labels and printout resist spraying with alcohols and other chemicals</li>
\n 	<li>Printable with all major thermal-transfer printer brands</li>
\n 	<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>
\n 	<li>RoHS compliant</li>
\n</ul>
\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20°C, -40°C, -80°C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-132,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 2"" Circle #FJT-132",Circle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-134,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 3"" x 4"" #FJT-134",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-136,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.75"" x 1.75"" #FJT-136",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-137,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers  - 1"" x 1"" #FJT-137",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-140,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.866"" x 0.59"" #FJT-140",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-141,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.9"" x 0.75"" #FJT-141",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-148,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 2"" x 0.276"" #FJT-148",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-149,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 1"" x 0.276"" #FJT-149",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-152,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.9"" x 0.75"" #FJT-152",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-154,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 3.25"" x 0.875"" #FJT-154",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-156,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 3.125"" Circle #FJT-156NP",Circle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-158,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 1.25"" x 0.5"" + 0.437"" #FJT-158",Rectangle + Circle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-159,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.945"" x 1.0625"" #FJT-159",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-160,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.875"" x 0.438"" #FJT-160",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-161,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 1.1875"" x 1"" + 0.375"" #FJT-161",Rectangle + Circle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
FJT-162NP,Published,"Permanent Deep-Freeze Labels for Thermal-Transfer Printers - 0.5"" x 1"" #FJT-162NP",Rectangle,FJT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent FreezerTAG&trade; - Deep-Freeze Labels for Thermal-Transfer Barcode Printers</h3>\n<br/>\n<ul>\n<li>Ideal for long-term storage in deep-freeze conditions (-80&deg;C)</li>\n<li>No curing time; can be stored in freezers immediately after application</li>\n<li>No additional lamination necessary</li>\n<li>Labels and printout resist spraying with alcohols and other chemicals</li>\n<li>Printable with all major thermal-transfer printer brands</li>\n<li>FDA Compliance: FDA 21 CFR 175.105 for indirect food contact</li>\n<li>RoHS compliant</li>\n</ul>\n<br/>\nDeep-freeze, permanent barcode labels for small diameter vials, microtubes, falcon tubes, cell culture plates, microplates, as well as polypropylene and cardboard freezer boxes. The freezer-grade labels are waterproof and tearproof, can adhere to moist and wet surfaces, and will permanently adhere to containers in (-20&deg;C, -40&deg;C, -80&deg;C) freezers and dry ice without the need for extra lamination. Available in multiple configurations and colors, they are made of a durable thermoplastic film and will resist spraying with alcohols, bleach, detergents, surface cleaning wipes, and other chemicals."
